Filename,Number of Objects,Number of Features
OHSU_TMA1_004-F7_OHSU_TMA1_004-F7-cellRingMask.csv,6570,50
OHSU_TMA1_004-F8_OHSU_TMA1_004-F8-cellRingMask.csv,7074,50
OHSU_TMA1_004-F9_OHSU_TMA1_004-F9-cellRingMask.csv,21398,50
OHSU_TMA1_004-G10_OHSU_TMA1_004-G10-cellRingMask.csv,4775,50
OHSU_TMA1_004-G11_OHSU_TMA1_004-G11-cellRingMask.csv,10741,50
OHSU_TMA1_004-G1_OHSU_TMA1_004-G1-cellRingMask.csv,18060,50
OHSU_TMA1_004-G2_OHSU_TMA1_004-G2-cellRingMask.csv,6842,50
OHSU_TMA1_004-G3_OHSU_TMA1_004-G3-cellRingMask.csv,21637,50
OHSU_TMA1_004-G4_OHSU_TMA1_004-G4-cellRingMask.csv,2201,50
OHSU_TMA1_004-G5_OHSU_TMA1_004-G5-cellRingMask.csv,22197,50
OHSU_TMA1_004-G6_OHSU_TMA1_004-G6-cellRingMask.csv,11049,50
OHSU_TMA1_004-G7_OHSU_TMA1_004-G7-cellRingMask.csv,10640,50
OHSU_TMA1_004-G8_OHSU_TMA1_004-G8-cellRingMask.csv,4775,50
OHSU_TMA1_004-G9_OHSU_TMA1_004-G9-cellRingMask.csv,9787,50
OHSU_TMA1_004-H10_OHSU_TMA1_004-H10-cellRingMask.csv,12795,50
OHSU_TMA1_004-H11_OHSU_TMA1_004-H11-cellRingMask.csv,1406,50
OHSU_TMA1_004-H1_OHSU_TMA1_004-H1-cellRingMask.csv,2149,50
OHSU_TMA1_004-H2_OHSU_TMA1_004-H2-cellRingMask.csv,8884,50
OHSU_TMA1_004-H3_OHSU_TMA1_004-H3-cellRingMask.csv,13087,50
OHSU_TMA1_004-H4_OHSU_TMA1_004-H4-cellRingMask.csv,18840,50
OHSU_TMA1_004-H5_OHSU_TMA1_004-H5-cellRingMask.csv,274,50
OHSU_TMA1_004-H6_OHSU_TMA1_004-H6-cellRingMask.csv,3693,50
OHSU_TMA1_004-H7_OHSU_TMA1_004-H7-cellRingMask.csv,8211,50
OHSU_TMA1_004-H8_OHSU_TMA1_004-H8-cellRingMask.csv,9826,50
OHSU_TMA1_004-H9_OHSU_TMA1_004-H9-cellRingMask.csv,10836,50
OHSU_TMA1_005-A10_OHSU_TMA1_005-A10-cellRingMask.csv,8429,50
OHSU_TMA1_005-A11_OHSU_TMA1_005-A11-cellRingMask.csv,12753,50
OHSU_TMA1_005-A1_OHSU_TMA1_005-A1-cellRingMask.csv,23249,50
OHSU_TMA1_005-A2_OHSU_TMA1_005-A2-cellRingMask.csv,3122,50
OHSU_TMA1_005-A3_OHSU_TMA1_005-A3-cellRingMask.csv,13464,50
OHSU_TMA1_005-A4_OHSU_TMA1_005-A4-cellRingMask.csv,14679,50
OHSU_TMA1_005-A5_OHSU_TMA1_005-A5-cellRingMask.csv,17736,50
OHSU_TMA1_005-A6_OHSU_TMA1_005-A6-cellRingMask.csv,4542,50
OHSU_TMA1_005-A7_OHSU_TMA1_005-A7-cellRingMask.csv,13218,50
OHSU_TMA1_005-A8_OHSU_TMA1_005-A8-cellRingMask.csv,13328,50
OHSU_TMA1_005-A9_OHSU_TMA1_005-A9-cellRingMask.csv,796,50
OHSU_TMA1_005-B10_OHSU_TMA1_005-B10-cellRingMask.csv,6504,50
OHSU_TMA1_005-B11_OHSU_TMA1_005-B11-cellRingMask.csv,12762,50
OHSU_TMA1_005-B1_OHSU_TMA1_005-B1-cellRingMask.csv,5527,50
OHSU_TMA1_005-B2_OHSU_TMA1_005-B2-cellRingMask.csv,1827,50
OHSU_TMA1_005-B3_OHSU_TMA1_005-B3-cellRingMask.csv,11847,50
OHSU_TMA1_005-B4_OHSU_TMA1_005-B4-cellRingMask.csv,9477,50
OHSU_TMA1_005-B5_OHSU_TMA1_005-B5-cellRingMask.csv,4769,50
OHSU_TMA1_005-B6_OHSU_TMA1_005-B6-cellRingMask.csv,16447,50
OHSU_TMA1_005-B7_OHSU_TMA1_005-B7-cellRingMask.csv,9368,50
OHSU_TMA1_005-B8_OHSU_TMA1_005-B8-cellRingMask.csv,236,50
OHSU_TMA1_005-B9_OHSU_TMA1_005-B9-cellRingMask.csv,6375,50
OHSU_TMA1_005-C10_OHSU_TMA1_005-C10-cellRingMask.csv,14814,50
OHSU_TMA1_005-C11_OHSU_TMA1_005-C11-cellRingMask.csv,3154,50
OHSU_TMA1_005-C1_OHSU_TMA1_005-C1-cellRingMask.csv,3793,50
OHSU_TMA1_005-C2_OHSU_TMA1_005-C2-cellRingMask.csv,8969,50
OHSU_TMA1_005-C3_OHSU_TMA1_005-C3-cellRingMask.csv,3548,50
OHSU_TMA1_005-C4_OHSU_TMA1_005-C4-cellRingMask.csv,3022,50
OHSU_TMA1_005-C5_OHSU_TMA1_005-C5-cellRingMask.csv,10904,50
OHSU_TMA1_005-C6_OHSU_TMA1_005-C6-cellRingMask.csv,1025,50
OHSU_TMA1_005-C7_OHSU_TMA1_005-C7-cellRingMask.csv,8820,50
OHSU_TMA1_005-C8_OHSU_TMA1_005-C8-cellRingMask.csv,4516,50
OHSU_TMA1_005-C9_OHSU_TMA1_005-C9-cellRingMask.csv,20934,50
OHSU_TMA1_005-D10_OHSU_TMA1_005-D10-cellRingMask.csv,4561,50
OHSU_TMA1_005-D11_OHSU_TMA1_005-D11-cellRingMask.csv,3653,50
OHSU_TMA1_005-D1_OHSU_TMA1_005-D1-cellRingMask.csv,7436,50
OHSU_TMA1_005-D2_OHSU_TMA1_005-D2-cellRingMask.csv,7675,50
OHSU_TMA1_005-D3_OHSU_TMA1_005-D3-cellRingMask.csv,8942,50
OHSU_TMA1_005-D4_OHSU_TMA1_005-D4-cellRingMask.csv,12382,50
OHSU_TMA1_005-D5_OHSU_TMA1_005-D5-cellRingMask.csv,2866,50
OHSU_TMA1_005-D6_OHSU_TMA1_005-D6-cellRingMask.csv,6265,50
OHSU_TMA1_005-D7_OHSU_TMA1_005-D7-cellRingMask.csv,16295,50
OHSU_TMA1_005-D8_OHSU_TMA1_005-D8-cellRingMask.csv,2360,50
OHSU_TMA1_005-D9_OHSU_TMA1_005-D9-cellRingMask.csv,2294,50
OHSU_TMA1_005-E10_OHSU_TMA1_005-E10-cellRingMask.csv,10588,50
OHSU_TMA1_005-E11_OHSU_TMA1_005-E11-cellRingMask.csv,7458,50
OHSU_TMA1_005-E1_OHSU_TMA1_005-E1-cellRingMask.csv,28403,50
OHSU_TMA1_005-E2_OHSU_TMA1_005-E2-cellRingMask.csv,4941,50
OHSU_TMA1_005-E3_OHSU_TMA1_005-E3-cellRingMask.csv,2962,50
OHSU_TMA1_005-E4_OHSU_TMA1_005-E4-cellRingMask.csv,11116,50
OHSU_TMA1_005-E5_OHSU_TMA1_005-E5-cellRingMask.csv,16463,50
OHSU_TMA1_005-E6_OHSU_TMA1_005-E6-cellRingMask.csv,13974,50
OHSU_TMA1_005-E7_OHSU_TMA1_005-E7-cellRingMask.csv,16129,50
OHSU_TMA1_005-E8_OHSU_TMA1_005-E8-cellRingMask.csv,7482,50
OHSU_TMA1_005-E9_OHSU_TMA1_005-E9-cellRingMask.csv,11821,50
OHSU_TMA1_005-F10_OHSU_TMA1_005-F10-cellRingMask.csv,7340,50
OHSU_TMA1_005-F11_OHSU_TMA1_005-F11-cellRingMask.csv,16014,50
OHSU_TMA1_005-F1_OHSU_TMA1_005-F1-cellRingMask.csv,17083,50
OHSU_TMA1_005-F2_OHSU_TMA1_005-F2-cellRingMask.csv,5780,50
OHSU_TMA1_005-F3_OHSU_TMA1_005-F3-cellRingMask.csv,9500,50
OHSU_TMA1_005-F4_OHSU_TMA1_005-F4-cellRingMask.csv,7777,50
OHSU_TMA1_005-F5_OHSU_TMA1_005-F5-cellRingMask.csv,13470,50
OHSU_TMA1_005-F6_OHSU_TMA1_005-F6-cellRingMask.csv,34254,50
OHSU_TMA1_005-F7_OHSU_TMA1_005-F7-cellRingMask.csv,5621,50
OHSU_TMA1_005-F8_OHSU_TMA1_005-F8-cellRingMask.csv,6620,50
OHSU_TMA1_005-F9_OHSU_TMA1_005-F9-cellRingMask.csv,19770,50
OHSU_TMA1_005-G10_OHSU_TMA1_005-G10-cellRingMask.csv,4236,50
OHSU_TMA1_005-G11_OHSU_TMA1_005-G11-cellRingMask.csv,9683,50
OHSU_TMA1_005-G1_OHSU_TMA1_005-G1-cellRingMask.csv,17410,50
OHSU_TMA1_005-G2_OHSU_TMA1_005-G2-cellRingMask.csv,6161,50
OHSU_TMA1_005-G3_OHSU_TMA1_005-G3-cellRingMask.csv,19874,50
OHSU_TMA1_005-G4_OHSU_TMA1_005-G4-cellRingMask.csv,1789,50
OHSU_TMA1_005-G5_OHSU_TMA1_005-G5-cellRingMask.csv,21379,50
OHSU_TMA1_005-G6_OHSU_TMA1_005-G6-cellRingMask.csv,10396,50
OHSU_TMA1_005-G7_OHSU_TMA1_005-G7-cellRingMask.csv,9719,50
OHSU_TMA1_005-G8_OHSU_TMA1_005-G8-cellRingMask.csv,4204,50
OHSU_TMA1_005-G9_OHSU_TMA1_005-G9-cellRingMask.csv,9229,50
OHSU_TMA1_005-H10_OHSU_TMA1_005-H10-cellRingMask.csv,12498,50
OHSU_TMA1_005-H11_OHSU_TMA1_005-H11-cellRingMask.csv,1438,50
OHSU_TMA1_005-H1_OHSU_TMA1_005-H1-cellRingMask.csv,2177,50
OHSU_TMA1_005-H2_OHSU_TMA1_005-H2-cellRingMask.csv,8108,50
OHSU_TMA1_005-H3_OHSU_TMA1_005-H3-cellRingMask.csv,11414,50
OHSU_TMA1_005-H4_OHSU_TMA1_005-H4-cellRingMask.csv,16953,50
OHSU_TMA1_005-H5_OHSU_TMA1_005-H5-cellRingMask.csv,329,50
OHSU_TMA1_005-H6_OHSU_TMA1_005-H6-cellRingMask.csv,3218,50
OHSU_TMA1_005-H7_OHSU_TMA1_005-H7-cellRingMask.csv,7884,50
OHSU_TMA1_005-H8_OHSU_TMA1_005-H8-cellRingMask.csv,8588,50
OHSU_TMA1_005-H9_OHSU_TMA1_005-H9-cellRingMask.csv,10259,50
OHSU_TMA1_010-A10_OHSU_TMA1_010-A10-cellRingMask.csv,8747,50
OHSU_TMA1_010-A11_OHSU_TMA1_010-A11-cellRingMask.csv,13712,50
OHSU_TMA1_010-A1_OHSU_TMA1_010-A1-cellRingMask.csv,23639,50
OHSU_TMA1_010-A2_OHSU_TMA1_010-A2-cellRingMask.csv,2526,50
OHSU_TMA1_010-A3_OHSU_TMA1_010-A3-cellRingMask.csv,13967,50
OHSU_TMA1_010-A4_OHSU_TMA1_010-A4-cellRingMask.csv,14606,50
OHSU_TMA1_010-A5_OHSU_TMA1_010-A5-cellRingMask.csv,18962,50
OHSU_TMA1_010-A6_OHSU_TMA1_010-A6-cellRingMask.csv,3923,50
OHSU_TMA1_010-A7_OHSU_TMA1_010-A7-cellRingMask.csv,13568,50
OHSU_TMA1_010-A8_OHSU_TMA1_010-A8-cellRingMask.csv,12876,50
OHSU_TMA1_010-A9_OHSU_TMA1_010-A9-cellRingMask.csv,660,50
OHSU_TMA1_010-B10_OHSU_TMA1_010-B10-cellRingMask.csv,6320,50
OHSU_TMA1_010-B11_OHSU_TMA1_010-B11-cellRingMask.csv,12555,50
OHSU_TMA1_010-B1_OHSU_TMA1_010-B1-cellRingMask.csv,5471,50
OHSU_TMA1_010-B2_OHSU_TMA1_010-B2-cellRingMask.csv,1944,50
OHSU_TMA1_010-B3_OHSU_TMA1_010-B3-cellRingMask.csv,12291,50
OHSU_TMA1_010-B4_OHSU_TMA1_010-B4-cellRingMask.csv,10046,50
OHSU_TMA1_010-B5_OHSU_TMA1_010-B5-cellRingMask.csv,5214,50
OHSU_TMA1_010-B6_OHSU_TMA1_010-B6-cellRingMask.csv,16728,50
OHSU_TMA1_010-B7_OHSU_TMA1_010-B7-cellRingMask.csv,9973,50
OHSU_TMA1_010-B8_OHSU_TMA1_010-B8-cellRingMask.csv,301,50
OHSU_TMA1_010-B9_OHSU_TMA1_010-B9-cellRingMask.csv,6803,50
OHSU_TMA1_010-C10_OHSU_TMA1_010-C10-cellRingMask.csv,15171,50
OHSU_TMA1_010-C11_OHSU_TMA1_010-C11-cellRingMask.csv,3147,50
OHSU_TMA1_010-C1_OHSU_TMA1_010-C1-cellRingMask.csv,3509,50
OHSU_TMA1_010-C2_OHSU_TMA1_010-C2-cellRingMask.csv,9263,50
OHSU_TMA1_010-C3_OHSU_TMA1_010-C3-cellRingMask.csv,3576,50
OHSU_TMA1_010-C4_OHSU_TMA1_010-C4-cellRingMask.csv,2609,50
OHSU_TMA1_010-C5_OHSU_TMA1_010-C5-cellRingMask.csv,10976,50
OHSU_TMA1_010-C6_OHSU_TMA1_010-C6-cellRingMask.csv,1054,50
OHSU_TMA1_010-C7_OHSU_TMA1_010-C7-cellRingMask.csv,9124,50
OHSU_TMA1_010-C8_OHSU_TMA1_010-C8-cellRingMask.csv,4548,50
OHSU_TMA1_010-C9_OHSU_TMA1_010-C9-cellRingMask.csv,20306,50
OHSU_TMA1_010-D10_OHSU_TMA1_010-D10-cellRingMask.csv,4584,50
OHSU_TMA1_010-D11_OHSU_TMA1_010-D11-cellRingMask.csv,3744,50
OHSU_TMA1_010-D1_OHSU_TMA1_010-D1-cellRingMask.csv,7406,50
OHSU_TMA1_010-D2_OHSU_TMA1_010-D2-cellRingMask.csv,7682,50
OHSU_TMA1_010-D3_OHSU_TMA1_010-D3-cellRingMask.csv,9276,50
OHSU_TMA1_010-D4_OHSU_TMA1_010-D4-cellRingMask.csv,12499,50
OHSU_TMA1_010-D5_OHSU_TMA1_010-D5-cellRingMask.csv,2487,50
OHSU_TMA1_010-D6_OHSU_TMA1_010-D6-cellRingMask.csv,6026,50
OHSU_TMA1_010-D7_OHSU_TMA1_010-D7-cellRingMask.csv,17138,50
OHSU_TMA1_010-D8_OHSU_TMA1_010-D8-cellRingMask.csv,2179,50
OHSU_TMA1_010-D9_OHSU_TMA1_010-D9-cellRingMask.csv,2396,50
OHSU_TMA1_010-E10_OHSU_TMA1_010-E10-cellRingMask.csv,10692,50
OHSU_TMA1_010-E11_OHSU_TMA1_010-E11-cellRingMask.csv,6932,50
OHSU_TMA1_010-E1_OHSU_TMA1_010-E1-cellRingMask.csv,29626,50
OHSU_TMA1_010-E2_OHSU_TMA1_010-E2-cellRingMask.csv,5510,50
OHSU_TMA1_010-E3_OHSU_TMA1_010-E3-cellRingMask.csv,3089,50
OHSU_TMA1_010-E4_OHSU_TMA1_010-E4-cellRingMask.csv,11521,50
OHSU_TMA1_010-E5_OHSU_TMA1_010-E5-cellRingMask.csv,16707,50
OHSU_TMA1_010-E6_OHSU_TMA1_010-E6-cellRingMask.csv,14011,50
OHSU_TMA1_010-E7_OHSU_TMA1_010-E7-cellRingMask.csv,16702,50
OHSU_TMA1_010-E8_OHSU_TMA1_010-E8-cellRingMask.csv,7769,50
OHSU_TMA1_010-E9_OHSU_TMA1_010-E9-cellRingMask.csv,11790,50
OHSU_TMA1_010-F10_OHSU_TMA1_010-F10-cellRingMask.csv,7613,50
OHSU_TMA1_010-F11_OHSU_TMA1_010-F11-cellRingMask.csv,16511,50
OHSU_TMA1_010-F1_OHSU_TMA1_010-F1-cellRingMask.csv,17251,50
OHSU_TMA1_010-F2_OHSU_TMA1_010-F2-cellRingMask.csv,5785,50
OHSU_TMA1_010-F3_OHSU_TMA1_010-F3-cellRingMask.csv,9820,50
OHSU_TMA1_010-F4_OHSU_TMA1_010-F4-cellRingMask.csv,8020,50
OHSU_TMA1_010-F5_OHSU_TMA1_010-F5-cellRingMask.csv,13487,50
OHSU_TMA1_010-F6_OHSU_TMA1_010-F6-cellRingMask.csv,34692,50
OHSU_TMA1_010-F7_OHSU_TMA1_010-F7-cellRingMask.csv,6006,50
OHSU_TMA1_010-F8_OHSU_TMA1_010-F8-cellRingMask.csv,6876,50
OHSU_TMA1_010-F9_OHSU_TMA1_010-F9-cellRingMask.csv,20212,50
OHSU_TMA1_010-G10_OHSU_TMA1_010-G10-cellRingMask.csv,4181,50
OHSU_TMA1_010-G11_OHSU_TMA1_010-G11-cellRingMask.csv,9534,50
OHSU_TMA1_010-G1_OHSU_TMA1_010-G1-cellRingMask.csv,17171,50
OHSU_TMA1_010-G2_OHSU_TMA1_010-G2-cellRingMask.csv,5779,50
OHSU_TMA1_010-G3_OHSU_TMA1_010-G3-cellRingMask.csv,20520,50
OHSU_TMA1_010-G4_OHSU_TMA1_010-G4-cellRingMask.csv,1924,50
OHSU_TMA1_010-G5_OHSU_TMA1_010-G5-cellRingMask.csv,21709,50
OHSU_TMA1_010-G6_OHSU_TMA1_010-G6-cellRingMask.csv,10748,50
OHSU_TMA1_010-G7_OHSU_TMA1_010-G7-cellRingMask.csv,9849,50
OHSU_TMA1_010-G8_OHSU_TMA1_010-G8-cellRingMask.csv,3507,50
OHSU_TMA1_010-G9_OHSU_TMA1_010-G9-cellRingMask.csv,9144,50
OHSU_TMA1_010-H10_OHSU_TMA1_010-H10-cellRingMask.csv,11966,50
OHSU_TMA1_010-H11_OHSU_TMA1_010-H11-cellRingMask.csv,1479,50
OHSU_TMA1_010-H1_OHSU_TMA1_010-H1-cellRingMask.csv,1922,50
OHSU_TMA1_010-H2_OHSU_TMA1_010-H2-cellRingMask.csv,8255,50
OHSU_TMA1_010-H3_OHSU_TMA1_010-H3-cellRingMask.csv,11727,50
OHSU_TMA1_010-H4_OHSU_TMA1_010-H4-cellRingMask.csv,18348,50
OHSU_TMA1_010-H5_OHSU_TMA1_010-H5-cellRingMask.csv,369,50
OHSU_TMA1_010-H6_OHSU_TMA1_010-H6-cellRingMask.csv,3279,50
OHSU_TMA1_010-H7_OHSU_TMA1_010-H7-cellRingMask.csv,7867,50
OHSU_TMA1_010-H8_OHSU_TMA1_010-H8-cellRingMask.csv,8957,50
OHSU_TMA1_010-H9_OHSU_TMA1_010-H9-cellRingMask.csv,10587,50
OHSU_TMA1_011-A10_OHSU_TMA1_011-A10-cellRingMask.csv,8734,50
OHSU_TMA1_011-A11_OHSU_TMA1_011-A11-cellRingMask.csv,13873,50
OHSU_TMA1_011-A1_OHSU_TMA1_011-A1-cellRingMask.csv,20840,50
OHSU_TMA1_011-A2_OHSU_TMA1_011-A2-cellRingMask.csv,2816,50
OHSU_TMA1_011-A3_OHSU_TMA1_011-A3-cellRingMask.csv,13833,50
OHSU_TMA1_011-A4_OHSU_TMA1_011-A4-cellRingMask.csv,14803,50
OHSU_TMA1_011-A5_OHSU_TMA1_011-A5-cellRingMask.csv,18708,50
OHSU_TMA1_011-A6_OHSU_TMA1_011-A6-cellRingMask.csv,3838,50
OHSU_TMA1_011-A7_OHSU_TMA1_011-A7-cellRingMask.csv,13293,50
OHSU_TMA1_011-A8_OHSU_TMA1_011-A8-cellRingMask.csv,12533,50
OHSU_TMA1_011-A9_OHSU_TMA1_011-A9-cellRingMask.csv,621,50
OHSU_TMA1_011-B10_OHSU_TMA1_011-B10-cellRingMask.csv,6471,50
OHSU_TMA1_011-B11_OHSU_TMA1_011-B11-cellRingMask.csv,12343,50
OHSU_TMA1_011-B1_OHSU_TMA1_011-B1-cellRingMask.csv,5437,50
OHSU_TMA1_011-B2_OHSU_TMA1_011-B2-cellRingMask.csv,1828,50
OHSU_TMA1_011-B3_OHSU_TMA1_011-B3-cellRingMask.csv,12430,50
OHSU_TMA1_011-B4_OHSU_TMA1_011-B4-cellRingMask.csv,9992,50
OHSU_TMA1_011-B5_OHSU_TMA1_011-B5-cellRingMask.csv,5025,50
OHSU_TMA1_011-B6_OHSU_TMA1_011-B6-cellRingMask.csv,16734,50
OHSU_TMA1_011-B7_OHSU_TMA1_011-B7-cellRingMask.csv,9997,50
OHSU_TMA1_011-B8_OHSU_TMA1_011-B8-cellRingMask.csv,250,50
OHSU_TMA1_011-B9_OHSU_TMA1_011-B9-cellRingMask.csv,6563,50
OHSU_TMA1_011-C10_OHSU_TMA1_011-C10-cellRingMask.csv,14892,50
OHSU_TMA1_011-C11_OHSU_TMA1_011-C11-cellRingMask.csv,3014,50
OHSU_TMA1_011-C1_OHSU_TMA1_011-C1-cellRingMask.csv,3449,50
OHSU_TMA1_011-C2_OHSU_TMA1_011-C2-cellRingMask.csv,9270,50
OHSU_TMA1_011-C3_OHSU_TMA1_011-C3-cellRingMask.csv,3622,50
OHSU_TMA1_011-C4_OHSU_TMA1_011-C4-cellRingMask.csv,2542,50
OHSU_TMA1_011-C5_OHSU_TMA1_011-C5-cellRingMask.csv,10936,50
OHSU_TMA1_011-C6_OHSU_TMA1_011-C6-cellRingMask.csv,1060,50
OHSU_TMA1_011-C7_OHSU_TMA1_011-C7-cellRingMask.csv,9303,50
OHSU_TMA1_011-C8_OHSU_TMA1_011-C8-cellRingMask.csv,4561,50
OHSU_TMA1_011-C9_OHSU_TMA1_011-C9-cellRingMask.csv,20124,50
OHSU_TMA1_011-D10_OHSU_TMA1_011-D10-cellRingMask.csv,5164,50
OHSU_TMA1_011-D11_OHSU_TMA1_011-D11-cellRingMask.csv,3407,50
OHSU_TMA1_011-D1_OHSU_TMA1_011-D1-cellRingMask.csv,7138,50
OHSU_TMA1_011-D2_OHSU_TMA1_011-D2-cellRingMask.csv,7800,50
OHSU_TMA1_011-D3_OHSU_TMA1_011-D3-cellRingMask.csv,9331,50
OHSU_TMA1_011-D4_OHSU_TMA1_011-D4-cellRingMask.csv,12913,50
OHSU_TMA1_011-D5_OHSU_TMA1_011-D5-cellRingMask.csv,2482,50
OHSU_TMA1_011-D6_OHSU_TMA1_011-D6-cellRingMask.csv,6193,50
OHSU_TMA1_011-D7_OHSU_TMA1_011-D7-cellRingMask.csv,16757,50
OHSU_TMA1_011-D8_OHSU_TMA1_011-D8-cellRingMask.csv,2123,50
OHSU_TMA1_011-D9_OHSU_TMA1_011-D9-cellRingMask.csv,2348,50
OHSU_TMA1_011-E10_OHSU_TMA1_011-E10-cellRingMask.csv,10860,50
OHSU_TMA1_011-E11_OHSU_TMA1_011-E11-cellRingMask.csv,6858,50
